"#","Phase","שלב","מערכת / רכיב","תפקיד","קלט","לוגיקה (מצב נוכחי)","פלט","מזין ל","קוד","סטטוס"
"1","0 · קליטת נתונים","ברים 5-דק'","Bridge → BarRouter","תשתית","Sierra DLL JSON (OHLCV+studies)","Bridge קורא v9_export/*.json → push ל-localhost:8000/api/v9/bars → BarRouter מפזר למנויים","BarEvent (5min/woodies_5min/tick_reversal)","S1 S2 S3 S4 S5","bridge/v9_streams/base_stream.py; services/bar_router.py","OK"
"1b","0 · קליטת נתונים","footprint","Bridge → BarRouter","תשתית","tick_reversal_15/12 + תאי ask/bid לכל level","אותו צינור, מנוי bar_type שונה","tick_reversal BarEvent","S3","bridge/v9_streams/","OK"
"1c","0 · קליטת נתונים","Woodies studies","Sierra DLL → Bridge","תשתית","DLL מחשב 11 מדדים (CCI-14 TCCI EMA-34 LSMA SWI CZI trend_state predictor HFE ZLR)","DLL=מקור אמת; fallback פייתון אם DLL נעדר","woodies_5min BarEvent","S4","sc_study/MES_AI_DataExport.cpp; woodies_system.py:251","OK"
"2","1 · זיהוי סוג-יום (S1)","A1 הקשר טרום-פתיחה","S1 / state_machine","observer","PD high/low/close; overnight; bar OHLC; ATR יומי","gap=open−PDclose. flag ON (S1_IB_WIDTH_ATR): gap לפי tiers ATR <0.25 TINY/<0.5 SMALL/<1.0 MEDIUM/>=1.0 LARGE","PreOpenContext (gap dir magnitude)","A2","state_machine.py:357; detector.py:211","OK"
"3","1 · זיהוי סוג-יום (S1)","A2 סיווג הרצת פתיחה","S1 / detector","observer","3+ ברי RTH ראשונים; footprint deltas; ATR","flag ON (S1_CVD_OPENING): PE_30>0.65 & range_exp>1.0→DRIVE; net_CVD/total<0.15 & PE<0.25→AUCTION; CVD מחליף מחיר כשבטוח (fallback מחיר)","OpeningType + drive_dir + conf + cvd_meta","A3 B1","detector.py:119 (price) /255 (CVD)","OK"
"4","1 · זיהוי סוג-יום (S1)","A3-A4 IB + נעילה + רוחב","S1 / state_machine+detector","observer","ברי RTH (Sierra IB); ib_period=60min","צבירת IB; נעילה 60min (10:30 ET). flag ON: רוחב לפי ATR יומי NARROW<0.5 / MEDIUM 0.5-1.0 / WIDE 1.0-1.5 / EXTREME>1.5","IBClassification (high low range width)","B1","state_machine.py:460; detector.py:14; extensions.py:72","OK"
"5","1 · זיהוי סוג-יום (S1)","B1 מטריצת החלטה","S1 / decision_matrix","observer","(OpeningType x IBWidth)","lookup 25 תאים → DayType + התפלגות. דוגמה (OPEN_DRIVE,NARROW)→Trend_Normal 60%. conf התחלתי 0.5. flag ON: עמודת EXTREME","DayType vote + dist","B2-B6","decision_matrix.py:30","OK"
"6","1 · זיהוי סוג-יום (S1)","B2-B6 התפתחות + staging","S1 / state_machine+detector","observer","ברים פוסט-IB; extensions; behavior; range/ATR; vote_history","re-score: behavior+0.30 range+0.20 vote x0.40 base 0.10; switch אם dConf>0.15. flag ON (STAGING): conf<=60% לפני 60min; C-period 10:30-11:00 re-eval","DayType vote מעודכן","C1","state_machine.py:542; detector.py:368","OK"
"6b","1 · זיהוי סוג-יום (S1)","כללי זוהר","S1 / zohar_rules","observer","DayType; מחיר מול IB; opening; extensions; TPO width; זמן","6 כללים: Alpha/Beta/Gamma/Delta/Width/Timing","RuleVerdict","C1 lock","zohar_rules.py:35","OK"
"6c","1 · זיהוי סוג-יום (S1)","תת-סוג Neutral","S1 / neutral_classifier","observer","open price; prev VAH/VAL","פתיחה בקצה VA (±0.25)→Neutral_Extreme; בתוך VA→Neutral_Center","Neutral_Extreme / Center","Playbook Auth Table","neutral_classifier.py:13","OK"
"7","1 · זיהוי סוג-יום (S1)","C1-C3 נעילה + Playbook","S1 / state_machine","observer","vote history; conf; session_min; Zohar","נעילה: conf>=0.85 אפקטיבי (GAP-5; 0.70 נקוב=תאימות-טסטים) או consecutive>=2 או session_min>=210 (13:00 ET). Playbook: DayType→(strategy sizing time_stop rules)","DayTypeClassification + Playbook","S2 S3 S4","state_machine.py:680","OK (GAP-5 קוסמטי)"
"8","2 · ירי (S2/S3/S4)","S2 OFA","S2 / five_min_system","firing","20 ברים 5-דק'; COT/AMT; belly ratio","Reactive (חולשת מוכר/קונה) + Initiative (Expansion). expansion=1.3-2.5×avg_range(14bars) (Michael 2026-06-08: adapts to avg candle size)","pattern dir conf(0.75-0.80) anchor","setup_emitter","five_min_system.py:461","OK"
"9","2 · ירי (S2/S3/S4)","S2 Chart H&S","S2 / patterns/head_shoulders","firing","30 ברים","Inverse H&S: 3 שפלים, סימטריה<=5%, neckline, breakout+1T","INVERSE_HNS","setup_emitter","head_shoulders.py:141","OK"
"9b","2 · ירי (S2/S3/S4)","S2 Double BT","S2 / patterns/double_bt","firing","30 ברים","Double Bottom Eve&Eve: 2 שפלים ±3%, neckline+10%, breakout+1T","DOUBLE_BOTTOM_EE","setup_emitter","double_bt.py:165","OK"
"9c","2 · ירי (S2/S3/S4)","S2 Flags","S2 / patterns/flags","firing","30 ברים","Bull Flag: pole 5-15 ברים, flag retrace<=50%, breakout+1T. flag ON: pole=5.5xATR flag=2.5xATR","BULL_FLAG","setup_emitter","flags.py:141","OK"
"10","2 · ירי (S2/S3/S4)","S3 Footprint","S3 / footprint_system","firing","tick_reversal; תאי ask/bid; COT; AMT","4 גלאים: Absorption / Stacked Imbalance (3+ levels ratio>=2.5) / Sweep-Return / Exhaustion. flag ON (S3_RELATIVE): accumulation=1.0xATR5m min_vol=0.3xmedian","T3 signal: dir strength confluence","gateway.route_setup","footprint_system.py:302","OK"
"11","2 · ירי (S2/S3/S4)","S4 Woodies","S4 / woodies_system+decision_tree","firing","woodies_5min (11 מדדים); 50 ברים; day_type TPO killzone","9 תבניות CONT/REV. A1 Trend-Gate (YELLOW→BLOCK ALL); A2 validity; A3 detection; A4 touch-points; A5 aux→sizing; A6 entry class; A7 pre_fire_validator","T2 signal: pattern dir conf tier stop/targets","gateway.route_setup","woodies_system.py:202; decision_tree.py","OK (ZLR resolved)"
"12","2 · observers","S5 TPO","S5 / tpo_system","observer","ברים 5-דק'","פרופיל; POC; VAH/VAL (70%); 8 צורות; IB lock 60min; POC migration; HVN/LVN","POC VAH VAL shape","S1 S2 S4","tpo_system.py:133","OK"
"13","2 · observers","S6 Killzone","S6 / killzone_system","observer","שעת ET (polling 30s)","8 אזורים (ASIA/LONDON/NY_OPEN/MIDDAY/...)","zone + edge_class","S4 (A4)","killzone_system.py:83","OK"
"14","3 · בניית setup","Auth Table + Quality Tier","S2 / auth_table_v1 + quality_tier","firing","pattern; day_type; price; POC/VAH/VAL","Quality: <=2.0pt מרמה→HIGH / בתוך VA→MEDIUM / מחוץ→LOW (flag ON: 1.25xATR5m). Auth Table 70 תאים→(verdict, contracts). SKIP→אין ירי. max=3 (V2 בדרך: 0-5). Nontrend→SKIP","verdict + contracts","setup_emitter","auth_table_v1.py:33; quality_tier.py:41","V2 בהמתנה"
"15","3 · בניית setup","Adaptive Stop","S2 / adaptive_stop","firing","entry; anchor; ATR multiplier; today_typical","3 שכבות A(מבני) B(ATR cap) C(floor). mult: Reactive 1.0x OFA/Flag 1.5x Double/H&S 2.0x. LONG max(A,B) clamp<=C","stop_price + binding_layer","T1Setup","adaptive_stop.py:130","OK"
"16","3 · בניית setup","Contract Split","S2 / contract_split","firing","pattern","OFA 25/50/25; H&S+Double 33/33/34; Flags 50/50/0","t1/t2/t3 pct","T1Setup","contract_split.py:15","OK"
"17","3 · בניית setup","Time Stop","S2 / time_stop_mapper","firing","day_type","TN:None; TDD 90min; NV 60; NeuE 45; NeuC/Norm 30; NT:NO_TRADE","time_stop_minutes","T1Setup","time_stop_mapper.py:12","OK"
"18","3 · בניית setup","Setup Emitter","S2 / setup_emitter","firing","pattern; day_type; prices; TPO","סירוב NT → Quality lookup → SKIP?None → time-stop → split → build T1Setup conf=75 → pre_fire_validator","T1Setup או None","gateway.route_setup","setup_emitter.py:24","OK"
"19","3 · בניית setup","Pre-Fire Validator (7 בדיקות)","Shared / pre_fire_validator","gate","FireRequest","system_id; direction; צד stop; סדר targets; R:R>=1.0; conf 0-100; time_stop 1-180","FireResponse (valid + reason)","setup_emitter / gateway","pre_fire_validator.py:42","OK"
"20","4 · Gateway","5 שערי סיכון","Gateway / trading_gateway + risk_checks + cooldown + SSV","gate","setup; direction; gateway state","1 Cooldown (2 STOP→30min) · 2 SSV (>=60% stop בצד→veto) · 3 Chop (SEARCHING→block) · 4 Cluster (5+/60s→block, DEMO/LIVE) · 5 Strict (LIVE: 14:30 cutoff, $250 cap, 5/day, 2 losses)","blocked_by או PASS","route_setup","trading_gateway.py:86; risk_checks.py:26","GAP-2/GAP-4"
"21","4 · Gateway","ניתוב 3-מצבי","Gateway / trading_gateway","routing","setup שעבר שערים","SHADOW: תמיד רושם, בלתי-מוגבל. DEMO/LIVE: slot יחיד. ברירת מחדל first-wins. D-094 (flag RR_FIRE_SELECTION, OFF): same-bar buffer→R:R הגבוה זוכה","trade_id per mode","trade_manager.accept_setup","trading_gateway.py:109","D-094 מומש (flag OFF)"
"22","5 · ניהול עסקה","accept_setup","trade_manager/manager","lifecycle","setup; mode","יוצר V9Trade (PENDING) + state machine; resolve trail config; persist","trade_id; שורת DB","on_fill","manager.py:84","OK"
"23","5 · ניהול עסקה","on_fill → FILLED","trade_manager/manager","lifecycle","trade_id; fill_price","PENDING→FILLED; entry_price=fill; entry_ts=UTC","state=FILLED","BarLevelDetector","manager.py:189","OK"
"24","5 · ניהול עסקה","BarLevelDetector — זיהוי פגיעה","trade_manager/bar_level_detector","monitoring","כל בר 5-דק'; עסקאות פעילות","stop קודם (adverse priority) ואז targets T1→T2→T3 רציף; dedup לפי bar_ts","on_stop_hit / on_target_hit","TradeManager","bar_level_detector.py:43","OK (Bug C פתוח)"
"25","5 · ניהול עסקה","T1 → Smart BE+1T","trade_manager/manager","management","T1 hit","→PARTIAL; stop→entry±1T (0.25pt); idempotent; audit","state=PARTIAL; stop=BE+1T","המשך מעקב","manager.py:206","OK"
"26","5 · ניהול עסקה","כללי ניהול (Layer 4)","TrailEngine / _apply_layer4","management","עסקה פעילה + בר","trail / lock-in 2R / tightening / EXIT — 5 שירותי Layer-4 בסדר mfe→cci→tcci→swi→day_type_targets, נקרא לכל בר (D-094 §3.B / D-095)","שינוי stop / CLOSE","TradeManager","services/trail_engine.py:548","OK (מחוּוט)"
"26c","5 · ניהול עסקה","דמה: gateway/trade_management.py","Gateway (legacy)","—","—","C.2/C.4/C.6/C.7 כפונקציות אך 0 callers — superseded dead code (הוחלף ע""י TrailEngine)","—","—","gateway/trade_management.py","Dead code"
