Pattern,DayType,Verdict,HIGH,MED,LOW
REACTIVE_LONG,Trend_Normal,REDUCED,3,2,1
REACTIVE_LONG,Trend_DD,REDUCED,4,3,0
REACTIVE_LONG,Neutral_Extreme,FULL,5,4,3
REACTIVE_LONG,Variation,FULL,5,4,3
REACTIVE_LONG,Neutral_Center,FULL,5,4,3
REACTIVE_LONG,Normal,FULL,5,4,3
REACTIVE_LONG,Nontrend,SKIP,0,0,0
REACTIVE_SHORT,Trend_Normal,REDUCED,4,3,0
REACTIVE_SHORT,Trend_DD,REDUCED,4,3,0
REACTIVE_SHORT,Neutral_Extreme,FULL,5,4,3
REACTIVE_SHORT,Variation,FULL,5,4,3
REACTIVE_SHORT,Neutral_Center,FULL,5,4,3
REACTIVE_SHORT,Normal,FULL,5,4,3
REACTIVE_SHORT,Nontrend,SKIP,0,0,0
INITIATIVE_LONG,Trend_Normal,FULL,4,3,2
INITIATIVE_LONG,Trend_DD,FULL,4,3,2
INITIATIVE_LONG,Neutral_Extreme,SKIP,0,0,0
INITIATIVE_LONG,Variation,FULL,4,3,2
INITIATIVE_LONG,Neutral_Center,SKIP,0,0,0
INITIATIVE_LONG,Normal,SKIP,0,0,0
INITIATIVE_LONG,Nontrend,SKIP,0,0,0
INITIATIVE_SHORT,Trend_Normal,FULL,5,4,3
INITIATIVE_SHORT,Trend_DD,FULL,5,4,3
INITIATIVE_SHORT,Neutral_Extreme,SKIP,0,0,0
INITIATIVE_SHORT,Variation,FULL,5,4,3
INITIATIVE_SHORT,Neutral_Center,SKIP,0,0,0
INITIATIVE_SHORT,Normal,SKIP,0,0,0
INITIATIVE_SHORT,Nontrend,SKIP,0,0,0
INVERSE_HNS_LONG,Trend_Normal,SKIP,0,0,0
INVERSE_HNS_LONG,Trend_DD,SKIP,0,0,0
INVERSE_HNS_LONG,Neutral_Extreme,FULL,5,4,3
INVERSE_HNS_LONG,Variation,REDUCED,3,2,1
INVERSE_HNS_LONG,Neutral_Center,FULL,5,4,3
INVERSE_HNS_LONG,Normal,FULL,5,4,3
INVERSE_HNS_LONG,Nontrend,SKIP,0,0,0
HNS_TOP_SHORT,Trend_Normal,SKIP,0,0,0
HNS_TOP_SHORT,Trend_DD,SKIP,0,0,0
HNS_TOP_SHORT,Neutral_Extreme,FULL,5,4,3
HNS_TOP_SHORT,Variation,REDUCED,4,3,2
HNS_TOP_SHORT,Neutral_Center,FULL,5,4,3
HNS_TOP_SHORT,Normal,FULL,5,4,3
HNS_TOP_SHORT,Nontrend,SKIP,0,0,0
DOUBLE_BOTTOM_EE_LONG,Trend_Normal,SKIP,0,0,0
DOUBLE_BOTTOM_EE_LONG,Trend_DD,SKIP,0,0,0
DOUBLE_BOTTOM_EE_LONG,Neutral_Extreme,FULL,5,4,3
DOUBLE_BOTTOM_EE_LONG,Variation,FULL,5,4,3
DOUBLE_BOTTOM_EE_LONG,Neutral_Center,FULL,5,4,3
DOUBLE_BOTTOM_EE_LONG,Normal,FULL,5,4,3
DOUBLE_BOTTOM_EE_LONG,Nontrend,SKIP,0,0,0
DOUBLE_TOP_AA_SHORT,Trend_Normal,SKIP,0,0,0
DOUBLE_TOP_AA_SHORT,Trend_DD,SKIP,0,0,0
DOUBLE_TOP_AA_SHORT,Neutral_Extreme,FULL,5,4,3
DOUBLE_TOP_AA_SHORT,Variation,FULL,5,4,3
DOUBLE_TOP_AA_SHORT,Neutral_Center,FULL,5,4,3
DOUBLE_TOP_AA_SHORT,Normal,FULL,5,4,3
DOUBLE_TOP_AA_SHORT,Nontrend,SKIP,0,0,0
BULL_FLAG_LONG,Trend_Normal,FULL,5,4,3
BULL_FLAG_LONG,Trend_DD,FULL,5,4,3
BULL_FLAG_LONG,Neutral_Extreme,REDUCED,4,4,0
BULL_FLAG_LONG,Variation,FULL,4,3,3
BULL_FLAG_LONG,Neutral_Center,SKIP,0,0,0
BULL_FLAG_LONG,Normal,REDUCED,4,4,0
BULL_FLAG_LONG,Nontrend,SKIP,0,0,0
BEAR_FLAG_SHORT,Trend_Normal,FULL,5,4,3
BEAR_FLAG_SHORT,Trend_DD,FULL,5,4,3
BEAR_FLAG_SHORT,Neutral_Extreme,REDUCED,4,4,0
BEAR_FLAG_SHORT,Variation,FULL,5,4,3
BEAR_FLAG_SHORT,Neutral_Center,SKIP,0,0,0
BEAR_FLAG_SHORT,Normal,REDUCED,3,2,1
BEAR_FLAG_SHORT,Nontrend,SKIP,0,0,0
