Sheet C — Strategy & Caveats · cross-pattern,,
,,
§6.1  Stop Strategy · אסטרטגיית סטופ,,
,Primary rule · CONT,"2–3 ticks beyond entry-bar low (long) / high (short) — Liran's ""momentum trade"" rule. Patterns: ZLR, TLB, TT, GB100."
,Primary rule · REV,Beyond the last swing extreme — for VEGAS: cup low · GHOST: right shoulder · FAMIR: failed-ZLR signal bar · HTLB: horizontal breakout bar · HFE: extreme bar.
,ATR cap · CONT (ZLR/TLB/TT),1.0 × ATR-14 (5-min) → ≈ 8–16 ticks in normal vol (daily ATR 40–55 pts).
,ATR cap · medium (GB100/HTLB),1.2 × ATR-14 → ≈ 10–20 ticks.
,ATR cap · REV (VEGAS/GHOST/FAMIR/HFE),1.5 × ATR-14 → ≈ 12–24 ticks.
,Floor,Never tighter than 4 ticks (MES tick-noise floor; 1T = 0.25pt = $1.25).
,Trail logic,After T1: move stop to breakeven + 1T. After T2: trail to last-bar low/high per Liran ladder. Also trail when TCCI crosses CCI-14 against position.
,,
§6.2  Target Strategy · אסטרטגיית יעדים,,
,"CCI-based scaffold (ZLR, GB100, HFE)",T1 = 1R (4 ticks) · T2 = 2R · T3 = 4R or trail.
,"CCI pattern-measure rule (VEGAS, GHOST)",Cup/H&S height in CCI × MES coefficient. Derived: ~1 MES pt / 25 CCI units in normal vol. 200 CCI depth ≈ 8 pts ≈ 32 ticks. Apply 50–60% haircut per Bulkowski target-meeting rates.
,"REV R-multiples (FAMIR, HTLB)",R:R 1.4–2.8 (mid between pure CONT and pure REV).
,Liran's exit ladder,T1 = 4T (or 5T if net-vol confirms) → ±200 cross opposite → ±100 cross opposite → ZL cross opposite (close all) → SWI turns red → contradicting/new-trend pattern → CCI-14 flat ≥3 bars → TCCI crosses CCI-14 against (trail to last bar low/high).
,Default exit distribution,50% T1 / 30% T2 / 20% trail — matches S2 file default.
,,
§6.3  Trend State Handling (4 states · BLUE/RED/YELLOW/GRAY),,
,BLUE — uptrend confirmed,"CCI > 50 + prev > 0 + SWI > 20. Liran: ≥6 bars above ZL with ≥1 bar >+100, ideally >+200. → CONT patterns FIRE, REV patterns BLOCK."
,RED — downtrend confirmed,"Mirror of BLUE. → CONT patterns FIRE, REV patterns BLOCK."
